event_id,country,iso3,disaster_type,alert_level,severity,population,start_date,end_date,latitude,longitude
1534636,Palau,PLW,EQ,Green,,,2026-04-10T13:15:36,2026-04-10T13:15:36,5.111,132.6162
1534630,United States,USA,EQ,Green,,,2026-04-10T12:50:12,2026-04-10T12:50:12,54.1868,-162.6172
1534624,Kermadec Islands Region,,EQ,Green,,,2026-04-10T12:08:43,2026-04-10T12:08:43,-31.895,-178.0129
1001270,Guam,GUM,TC,Red,,,2026-04-09T00:00:00,2026-04-10T12:00:00,8.1,150.9
1001268,"Solomon Islands, Papua New Guinea",PNG,TC,Green,,,2026-04-04T00:00:00,2026-04-10T12:00:00,-8.4,154.3
1534610,Indonesia,IDN,EQ,Green,,,2026-04-10T11:08:53,2026-04-10T11:08:53,-3.3432,102.382
1018344,"Angola, Democratic Republic of Congo, Republic of Congo, Gabon, Zambia",AGO,DR,Orange,,,2025-06-21T00:00:00,2026-04-10T10:17:46,-10.835,15.537
1017535,"Afghanistan, Islamic Republic of Iran, Tajikistan, Turkmenistan",AFG,DR,Green,,,2024-10-21T00:00:00,2026-04-10T10:17:44,37.302,71.48
1017863,"Kenya, Somalia",KEN,DR,Orange,,,2025-05-21T00:00:00,2026-04-10T10:17:43,2.053,43.899
1018406,"Libya, Tunisia",LBY,DR,Green,,,2026-01-21T00:00:00,2026-04-10T10:17:41,32.506,12.35
1018332,"Austria, Belarus, Czech Republic, Germany, Denmark, Estonia, Lithuania, Latvia, Poland, Russia, Sweden, Slovakia, Ukraine",AUT,DR,Green,,,2025-12-21T00:00:00,2026-04-10T10:17:39,53.076,18.436
1018093,"Mexico, United States",MEX,DR,Green,,,2025-08-21T00:00:00,2026-04-10T10:17:37,36.324,-89.274
1018228,China,CHN,DR,Green,,,2025-10-21T00:00:00,2026-04-10T10:17:33,27.936,119.116
1018196,Venezuela,VEN,DR,Green,,,2025-09-21T00:00:00,2026-04-10T10:17:32,10.5,-69.5
1018327,"Argentina, Uruguay",ARG,DR,Orange,,,2025-11-21T00:00:00,2026-04-10T10:17:30,-34.19,-60.785
1016449,"Bolivia, Brazil, Peru, Paraguay",BOL,DR,Orange,,,2022-09-21T00:00:00,2026-04-10T10:17:28,-8.468,-54.91
1534593,"Kermadec Islands, New Zealand",,EQ,Green,,,2026-04-10T08:17:13,2026-04-10T08:17:13,-29.3883,-177.0968
1534563,Reykjanes Ridge,,EQ,Green,,,2026-04-10T03:22:07,2026-04-10T03:22:07,53.0309,-35.1303
1534559,"Southeast Of Honshu, Japan",,EQ,Green,,,2026-04-10T02:24:31,2026-04-10T02:24:31,30.7991,141.9062
1534539,Islamic Republic of Iran,IRN,EQ,Green,,,2026-04-10T00:56:13,2026-04-10T00:56:13,31.4866,49.9197
1028251,Thailand,THA,WF,Green,,,2026-04-02T00:00:00,2026-04-10T00:00:00,18.000454140615858,98.08247750685922
1028250,Laos,LAO,WF,Green,,,2026-04-02T00:00:00,2026-04-10T00:00:00,18.6714133503704,102.3762331392708
1028249,Laos,LAO,WF,Green,,,2026-04-02T00:00:00,2026-04-10T00:00:00,18.38922358444889,103.01317525740431
1028248,Laos,LAO,WF,Green,,,2026-04-03T00:00:00,2026-04-10T00:00:00,18.543004415787077,101.67103941424266
1028247,Thailand,THA,WF,Green,,,2026-04-03T00:00:00,2026-04-10T00:00:00,16.938705675609572,99.61218052068902
1028246,Laos,LAO,WF,Green,,,2026-04-03T00:00:00,2026-04-10T00:00:00,19.79867074436586,100.81048826550274
1028245,Laos,LAO,WF,Green,,,2026-04-03T00:00:00,2026-04-10T00:00:00,20.3370578636585,102.57687504617138
1028244,Thailand,THA,WF,Green,,,2026-04-03T00:00:00,2026-04-10T00:00:00,14.955890116518876,99.458974044488
1028243,Thailand,THA,WF,Green,,,2026-04-03T00:00:00,2026-04-10T00:00:00,14.934073094609465,99.32567191641584
1028242,Thailand,THA,WF,Green,,,2026-04-03T00:00:00,2026-04-10T00:00:00,14.59961292775405,99.35233873499087
1028241,Laos,LAO,WF,Green,,,2026-04-04T00:00:00,2026-04-10T00:00:00,20.140438006910188,102.76624132487613
1028240,Thailand,THA,WF,Green,,,2026-04-04T00:00:00,2026-04-10T00:00:00,19.34431697111376,98.12448729917838
1028239,India,IND,WF,Green,,,2026-04-05T00:00:00,2026-04-10T00:00:00,27.275678450052116,82.78680316461188
1028238,Thailand,THA,WF,Green,,,2026-04-07T00:00:00,2026-04-10T00:00:00,15.973555377436302,101.80274244685963
1028237,Australia,AUS,WF,Green,,,2026-04-08T00:00:00,2026-04-10T00:00:00,-16.32533977956783,128.5432714747107
1028236,Russian Federation,RUS,WF,Green,,,2026-04-08T00:00:00,2026-04-10T00:00:00,48.644257479176055,132.2380501949027
1028235,Australia,AUS,WF,Green,,,2026-04-09T00:00:00,2026-04-10T00:00:00,-32.54535710664647,116.3675376336521
1028234,Australia,AUS,WF,Green,,,2026-04-09T00:00:00,2026-04-10T00:00:00,-16.86634549176335,125.02254306305257
1028198,Laos,LAO,WF,Green,,,2026-04-02T00:00:00,2026-04-10T00:00:00,15.443638747229668,106.96615132492212
