event_id,country,iso3,disaster_type,alert_level,severity,magnitude,population,start_date,end_date,latitude,longitude
1028269,Laos,LAO,WF,Green,,6101.0,,2026-03-28T00:00:00,2026-04-12T00:00:00,18.188434555560427,101.8419454259419
1028268,Myanmar,MMR,WF,Green,,5489.0,,2026-03-28T00:00:00,2026-04-12T00:00:00,20.85779773009624,93.84723468794951
1028267,Thailand,THA,WF,Green,,7385.0,,2026-03-29T00:00:00,2026-04-12T00:00:00,16.88077062055316,101.47606404519333
1028263,Laos,LAO,WF,Green,,14649.0,,2026-03-30T00:00:00,2026-04-12T00:00:00,20.003406337099104,102.97690663608996
1028262,Thailand,THA,WF,Green,,7075.0,,2026-03-30T00:00:00,2026-04-12T00:00:00,18.512689715094897,100.99961517401704
1028261,Laos,LAO,WF,Green,,9229.0,,2026-03-31T00:00:00,2026-04-12T00:00:00,16.232927452278332,106.90205079715808
1028260,Laos,LAO,WF,Green,,8503.0,,2026-03-31T00:00:00,2026-04-12T00:00:00,18.822222693578347,101.4694691783076
1028258,Thailand,THA,WF,Green,,8046.0,,2026-03-31T00:00:00,2026-04-12T00:00:00,16.400023267046045,99.15326092379289
1028257,"Thailand, Myanmar",THA,WF,Green,,11589.0,,2026-04-01T00:00:00,2026-04-12T00:00:00,17.972480785917735,97.80239531781726
1028253,Thailand,THA,WF,Green,,7163.0,,2026-04-01T00:00:00,2026-04-12T00:00:00,18.402944462782614,97.56673362495289
1028252,Laos,LAO,WF,Green,,16233.0,,2026-04-01T00:00:00,2026-04-12T00:00:00,18.14606591374718,102.34799087829266
1028251,Thailand,THA,WF,Green,,10028.0,,2026-04-02T00:00:00,2026-04-12T00:00:00,17.99376658160531,98.09429318849917
1028250,Laos,LAO,WF,Green,,11763.0,,2026-04-02T00:00:00,2026-04-12T00:00:00,18.69714208503409,102.40827271704171
1028249,Laos,LAO,WF,Green,,24821.0,,2026-04-02T00:00:00,2026-04-12T00:00:00,18.37142948512318,103.0317702480614
1028248,Laos,LAO,WF,Green,,14496.0,,2026-04-03T00:00:00,2026-04-12T00:00:00,18.5846638760732,101.68872755433105
1028247,Thailand,THA,WF,Green,,7598.0,,2026-04-03T00:00:00,2026-04-12T00:00:00,16.946535282916205,99.61691266945637
1028246,Laos,LAO,WF,Green,,8486.0,,2026-04-03T00:00:00,2026-04-12T00:00:00,19.808043081852926,100.81511687023936
1028245,Laos,LAO,WF,Green,,20138.0,,2026-04-02T00:00:00,2026-04-12T00:00:00,20.32647631120915,102.5791389541978
1028244,Thailand,THA,WF,Green,,8623.0,,2026-04-03T00:00:00,2026-04-12T00:00:00,14.95386002424026,99.45850323401507
1028242,Thailand,THA,WF,Green,,9566.0,,2026-04-03T00:00:00,2026-04-12T00:00:00,14.601880587541983,99.34432932779227
1028241,Laos,LAO,WF,Green,,12834.0,,2026-04-04T00:00:00,2026-04-12T00:00:00,20.116466957565564,102.73778990937073
1028240,Thailand,THA,WF,Green,,8033.0,,2026-04-04T00:00:00,2026-04-12T00:00:00,19.348874070013224,98.12249812094338
1028239,India,IND,WF,Green,,18017.0,,2026-04-05T00:00:00,2026-04-12T00:00:00,27.25376132509452,82.76462654884469
1028238,Thailand,THA,WF,Green,,9458.0,,2026-04-07T00:00:00,2026-04-12T00:00:00,15.974170449058189,101.79410865182557
1028237,Australia,AUS,WF,Green,,11658.0,,2026-04-08T00:00:00,2026-04-12T00:00:00,-16.355152044772,128.5283580496034
