event_id,country,iso3,disaster_type,alert_level,severity,population,start_date,end_date,latitude,longitude
1531633,Japan,JPN,EQ,Green,,,2026-03-29T07:07:55,2026-03-29T07:07:55,27.9924,128.1032
1531609,Taiwan,TWN,EQ,Green,,,2026-03-29T03:12:17,2026-03-29T03:12:17,22.2967,120.5361
1531608,Greece,GRC,EQ,Green,,,2026-03-29T03:01:58,2026-03-29T03:01:58,38.2032,20.841
1027979,Thailand,THA,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,18.58195369941938,99.85285329197225
1027980,Laos,LAO,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,19.645511329271077,102.9920276579648
1028000,Venezuela,VEN,WF,Green,,,2026-03-25T00:00:00,2026-03-29T00:00:00,9.107592920912033,-68.07937560118208
1028001,Myanmar,MMR,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,19.20642019460293,97.02264430121437
1028002,Thailand,THA,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,18.973096607058814,99.05428163700257
1028003,Thailand,THA,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,18.876393397310057,98.72075945018457
1028004,Myanmar,MMR,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,20.997922112619243,94.03858909750534
1028005,Thailand,THA,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.202954450694744,98.88242981436493
1028006,Myanmar,MMR,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,20.801510290508304,98.71652470929816
1028007,Thailand,THA,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,19.285041475501156,100.10095559458486
1028008,Thailand,THA,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,19.12194799702732,99.1022619509332
1028009,Thailand,THA,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,18.465392194862392,100.53845249555943
1028010,Thailand,THA,WF,Green,,,2026-03-25T00:00:00,2026-03-29T00:00:00,19.028978125066036,97.89318914515343
1028011,Thailand,THA,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,18.57432923814665,98.71038888267391
1028012,"Myanmar, Thailand",MMR,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,18.537503983069765,97.43146473724788
1028013,Thailand,THA,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,17.79268243065624,99.29241891519973
1028014,Laos,LAO,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,18.998562238234296,101.70163716904433
1028015,Laos,LAO,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.464120195121957,102.55604160261404
1028016,Laos,LAO,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.541947400511585,102.50345412407084
1028017,Myanmar,MMR,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,20.614174124579968,98.7142877847841
1028018,Myanmar,MMR,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,20.120689793773636,97.56800570588383
1027962,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.1466300512344,97.2111755028129
1027963,Myanmar,MMR,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,19.97687253502489,97.80450001695758
1027965,Thailand,THA,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,19.0302179891097,99.15989920215817
1027967,Myanmar,MMR,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,19.084073393315727,97.10788397864502
1027968,Thailand,THA,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,18.41299057300408,97.72122502752751
1027969,Myanmar,MMR,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,19.909552339700145,97.99786749120997
1027974,Myanmar,MMR,WF,Green,,,2026-03-26T00:00:00,2026-03-29T00:00:00,20.52865265234588,96.49009787330101
1027975,Myanmar,MMR,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,22.07237461516771,97.5918825705201
1027982,Laos,LAO,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,20.300188595491704,101.43534073670915
1027983,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.753733606227847,97.47761703741646
1027984,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.934083007966542,98.68883774104248
1027985,Thailand,THA,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,18.664401055416064,98.73699871189915
1027986,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.97943164570478,98.77092689693087
1027987,China,CHN,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,47.01650316051907,124.87888723175895
